camera,source_camera_info,image_width,image_height,fx,fy,cx,cy,hfov_deg,vfov_deg,marker_length_m,marker_id,center_u,center_v,corner0_u,corner0_v,corner1_u,corner1_v,corner2_u,corner2_v,corner3_u,corner3_v,pnp_success,tvec_x_m,tvec_y_m,tvec_z_m,distance_m,rvec_x,rvec_y,rvec_z
cam_edge_3,front_left,1280,720,919.951171875,920.0068969726562,661.20947265625,356.6334228515625,69.65182951956672,42.74095302362899,0.17,2,884.5,570.25,858.0,532.0,921.0,546.0,911.0,610.0,848.0,593.0,True,0.5975596225406495,0.572557253296569,2.467231634370718,2.602331886680298,3.0179658191885803,0.23924175093440783,-0.7046371375857104
cam_edge_3,front_left,1280,720,919.951171875,920.0068969726562,661.20947265625,356.6334228515625,69.65182951956672,42.74095302362899,0.17,3,588.75,409.5,578.0,399.0,598.0,387.0,599.0,420.0,580.0,432.0,True,-0.34578431672500387,0.2528628435631374,4.399838638110298,4.420643217084601,-2.4612404185967884,0.26144953219399586,-1.44700267197332
cam_edge_3,front_left,1280,720,919.951171875,920.0068969726562,661.20947265625,356.6334228515625,69.65182951956672,42.74095302362899,0.17,5,1143.75,301.75,1128.0,284.0,1165.0,287.0,1159.0,320.0,1123.0,316.0,True,2.493171095300535,-0.28371491327715614,4.755005970927856,5.376474499708661,-3.008215288100252,-0.24428773385604272,0.9436163547811741
cam_edge_3,front_left,1280,720,919.951171875,920.0068969726562,661.20947265625,356.6334228515625,69.65182951956672,42.74095302362899,0.17,6,862.5,226.0,851.0,211.0,879.0,213.0,874.0,241.0,846.0,239.0,True,1.1890776327879193,-0.7711088775683603,5.434238730724793,5.616000810218128,3.536236162001606,0.13397570070300072,0.1504395921839559
cam_edge_3,front_left,1280,720,919.951171875,920.0068969726562,661.20947265625,356.6334228515625,69.65182951956672,42.74095302362899,0.17,7,791.25,221.25,781.0,207.0,806.0,208.0,802.0,236.0,776.0,234.0,True,0.7907320343556132,-0.8238715246338929,5.598301746873001,5.713580653871969,2.9547362416592216,0.23696278797693898,-0.8447790761183089
cam_edge_3,front_left,1280,720,919.951171875,920.0068969726562,661.20947265625,356.6334228515625,69.65182951956672,42.74095302362899,0.17,8,1070.75,209.5,1058.0,195.0,1088.0,196.0,1084.0,224.0,1053.0,223.0,True,2.4366631275375665,-0.8757040299241446,5.475234335700749,6.0565977063003755,2.917535271513815,0.2382933527523238,-0.8874619191154418
cam_edge_5,back_right,1280,720,927.202392578125,927.3688354492188,651.477294921875,358.7645263671875,69.23063516122471,42.431932431574616,0.17,13,968.75,631.5,933.0,602.0,1011.0,615.0,1007.0,662.0,924.0,647.0,True,0.7049948232854152,0.6048545662614601,2.0636253618857885,2.2630546571845818,1.91421983327569,0.32849147302806647,-0.3289092160067317
cam_edge_5,back_right,1280,720,927.202392578125,927.3688354492188,651.477294921875,358.7645263671875,69.23063516122471,42.431932431574616,0.17,11,659.5,472.25,642.0,453.0,703.0,461.0,679.0,492.0,614.0,483.0,True,0.01988022555107003,0.2812005899286289,2.3088866171669364,2.326032331262132,1.90579629934252,0.34036871656624473,-0.3312545217265478
cam_edge_5,back_right,1280,720,927.202392578125,927.3688354492188,651.477294921875,358.7645263671875,69.23063516122471,42.431932431574616,0.17,12,342.0,471.75,308.0,458.0,349.0,434.0,375.0,484.0,336.0,511.0,True,-0.8973890956317441,0.3275834026954917,2.693888006854381,2.858260077066848,2.5618474977201418,-0.6792372527336336,1.539789200103703
cam_edge_5,back_right,1280,720,927.202392578125,927.3688354492188,651.477294921875,358.7645263671875,69.23063516122471,42.431932431574616,0.17,9,920.25,389.0,895.0,361.0,950.0,365.0,945.0,418.0,891.0,412.0,True,0.8673293837955066,0.0978479691719968,2.995035192618848,3.1196266267121775,-2.98753003475318,-0.1049353812430998,0.52124294811523
cam_edge_5,back_right,1280,720,927.202392578125,927.3688354492188,651.477294921875,358.7645263671875,69.23063516122471,42.431932431574616,0.17,10,523.0,356.25,506.0,333.0,544.0,336.0,540.0,380.0,502.0,376.0,True,-0.5007247783267434,-0.00986071719869695,3.6089203996735244,3.643505041653401,3.0557350090864097,0.13648398753285815,-0.5990726350904689
cam_edge_5,back_right,1280,720,927.202392578125,927.3688354492188,651.477294921875,358.7645263671875,69.23063516122471,42.431932431574616,0.17,0,1016.0,178.5,1006.0,169.0,1027.0,169.0,1026.0,188.0,1005.0,188.0,True,3.156972107464051,-1.5611472198083576,8.030808923760809,8.769124557170892,2.9822223553712615,0.1165633012253564,-0.4475005057863289
